vehicle_id,route_id, route_direction,timestamp,lat,lng
1_51230,ed5ea2bf-7194-42fb-89a9-8794a74a27df,-1,1602250875000,-23.54645675,-46.629903999999996
1_51203,9a2725fb-9841-4eb5-81b1-b7c4b6adeb94,0,1602250693000,-23.62019175,-46.63747525
1_51216,ed5ea2bf-7194-42fb-89a9-8794a74a27df,-1,1602250883000,-23.6252510625,-46.628769375
1_52795,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602250907000,-23.607827,-46.6378365
1_52823,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602250903000,-23.652816,-46.607754
1_52840,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602250897000,-23.622551,-46.629335499999996
1_52851,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602250907000,-23.652816,-46.607754
1_52859,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602250877000,-23.550024999999998,-46.634035
1_52819,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602250896000,-23.652816,-46.607754
1_51222,ed5ea2bf-7194-42fb-89a9-8794a74a27df,-1,1602250008000,-23.561069249999996,-46.61309025
1_52845,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602250913000,-23.585055500000003,-46.64771725
1_52848,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602250917000,-23.5455615,-46.6315625
1_52834,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602250912000,-23.5470345,-46.6298525
1_52800,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602250880000,-23.652816,-46.607754
1_51227,ed5ea2bf-7194-42fb-89a9-8794a74a27df,0,1602250882000,-23.6510365,-46.620753
1_52841,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602250914000,-23.5470345,-46.6298525
1_52699,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602250917000,-23.5470345,-46.6298525
1_52808,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602250907000,-23.5827565,-46.649079
1_52828,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602250911000,-23.652816,-46.607754
9_1021,c0406960-721b-4c89-953e-e5eacf65e0b6,-1,1602262002000,-23.639913,-46.627408
9_52235,a1b370c0-42c7-4a9d-a1aa-00f5dbbfb821,-1,1602261860000,-23.664322,-46.620733
9_1023,eca1ccc4-cd54-4b48-b232-c58abc43532f,-1,1602261866000,-23.69822,-46.5529
9_1019,c0406960-721b-4c89-953e-e5eacf65e0b6,-1,1602261955000,-23.697781,-46.5528229
9_53413,b99cd78c-f020-48b2-82d8-4f66006b4727,-1,1602261862000,-23.657602,-46.6173379
9_1029,eca1ccc4-cd54-4b48-b232-c58abc43532f,-1,1602262003000,-23.666414,-46.620663
9_52266,a1b370c0-42c7-4a9d-a1aa-00f5dbbfb821,-1,1602261863000,-23.684538,-46.626405
9_1017,eca1ccc4-cd54-4b48-b232-c58abc43532f,-1,1602261968000,-23.619571,-46.6387209
9_53410,b99cd78c-f020-48b2-82d8-4f66006b4727,-1,1602262029000,-23.6318689,-46.627427
9_1011,eca1ccc4-cd54-4b48-b232-c58abc43532f,-1,1602261982000,-23.657098,-46.568853
9_53411,b99cd78c-f020-48b2-82d8-4f66006b4727,-1,1602262016000,-23.676055,-46.601341
9_52262,b99cd78c-f020-48b2-82d8-4f66006b4727,-1,1602261913000,-23.672811,-46.583294
9_52344,a1b370c0-42c7-4a9d-a1aa-00f5dbbfb821,-1,1602262010000,-23.663844,-46.620444
9_53409,d76c5924-95d2-4f13-a0fa-03e4ff12ebe0,1,1602261955000,-23.629444,-46.630544
9_1031,c0406960-721b-4c89-953e-e5eacf65e0b6,-1,1602261993000,-23.661486,-46.605395
9_1013,1584ebd7-f3ca-43ab-a6fa-5483a0f6f2a4,-1,1602262031000,-23.639551,-46.627426
9_52350,d76c5924-95d2-4f13-a0fa-03e4ff12ebe0,-1,1602261922000,-23.673041,-46.583869
9_53412,b99cd78c-f020-48b2-82d8-4f66006b4727,-1,1602262002000,-23.667561,-46.605405
9_53408,d76c5924-95d2-4f13-a0fa-03e4ff12ebe0,-1,1602261987000,-23.672936,-46.583605
9_1015,1584ebd7-f3ca-43ab-a6fa-5483a0f6f2a4,-1,1602262047000,-23.666341,-46.6088809
1_51230,ed5ea2bf-7194-42fb-89a9-8794a74a27df,1,1602250976000,-23.5473415,-46.629296499999995
1_51216,ed5ea2bf-7194-42fb-89a9-8794a74a27df,-1,1602250974000,-23.6205765,-46.6278
1_52795,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602250951000,-23.60995925,-46.63796075
1_52823,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602250949000,-23.652816,-46.607754
1_52840,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602250942000,-23.62179175,-46.63093225
1_52851,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602250952000,-23.652816,-46.607754
1_52859,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602250967000,-23.550824499999997,-46.634544
1_52819,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602250942000,-23.652816,-46.607754
1_52845,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602250958000,-23.586782,-46.64807425
1_52848,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602250975000,-23.5470345,-46.6298525
1_52834,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602250957000,-23.5470345,-46.6298525
1_52800,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602250970000,-23.652816,-46.607754
1_51227,ed5ea2bf-7194-42fb-89a9-8794a74a27df,0,1602250959000,-23.6510365,-46.620753
1_52841,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602250959000,-23.5470345,-46.6298525
1_52699,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602250961000,-23.5470345,-46.6298525
1_52808,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602250952000,-23.581791,-46.649339999999995
1_52828,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602250955000,-23.652816,-46.607754
1_52795,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602250997000,-23.611788500000003,-46.63798475
1_52823,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602251038000,-23.652816,-46.607754
1_52840,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602251032000,-23.6211375,-46.6347485
1_52851,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602250997000,-23.652816,-46.607754
1_52859,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602251001000,-23.550281499999997,-46.636097750000005
1_52819,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602251032000,-23.652816,-46.607754
1_52845,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602251004000,-23.58759675,-46.648303
1_52848,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602251012000,-23.546762,-46.629915499999996
1_52834,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602251003000,-23.5470345,-46.6298525
1_52800,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602251015000,-23.652816,-46.607754
1_52841,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602251005000,-23.5470345,-46.6298525
1_52699,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602251007000,-23.5470345,-46.6298525
1_52808,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602250997000,-23.580244999999998,-46.650667999999996
1_52828,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602251001000,-23.652816,-46.607754
1_51230,ed5ea2bf-7194-42fb-89a9-8794a74a27df,1,1602251021000,-23.550286999999997,-46.628243
1_51216,ed5ea2bf-7194-42fb-89a9-8794a74a27df,-1,1602251019000,-23.61997,-46.62776475
1_51227,ed5ea2bf-7194-42fb-89a9-8794a74a27df,0,1602251003000,-23.6510365,-46.620753
9_1021,c0406960-721b-4c89-953e-e5eacf65e0b6,-1,1602262122000,-23.632514,-46.627469
9_52235,a1b370c0-42c7-4a9d-a1aa-00f5dbbfb821,-1,1602262115000,-23.665788,-46.6225049
9_1023,eca1ccc4-cd54-4b48-b232-c58abc43532f,-1,1602262046000,-23.6981879,-46.552891
9_1019,c0406960-721b-4c89-953e-e5eacf65e0b6,-1,1602262135000,-23.697893,-46.552829
9_53413,b99cd78c-f020-48b2-82d8-4f66006b4727,-1,1602262141000,-23.637166,-46.627027
9_1029,eca1ccc4-cd54-4b48-b232-c58abc43532f,-1,1602262061000,-23.6665889,-46.6206729
9_52266,a1b370c0-42c7-4a9d-a1aa-00f5dbbfb821,-1,1602262043000,-23.684036,-46.626761
9_1017,eca1ccc4-cd54-4b48-b232-c58abc43532f,-1,1602262088000,-23.618448,-46.639116
9_53410,b99cd78c-f020-48b2-82d8-4f66006b4727,-1,1602262115000,-23.6349379,-46.627344
9_1011,eca1ccc4-cd54-4b48-b232-c58abc43532f,-1,1602262131000,-23.653505,-46.5726749
9_53411,b99cd78c-f020-48b2-82d8-4f66006b4727,-1,1602262138000,-23.678225,-46.604711
9_52262,b99cd78c-f020-48b2-82d8-4f66006b4727,-1,1602262058000,-23.672827,-46.583327
9_52344,a1b370c0-42c7-4a9d-a1aa-00f5dbbfb821,-1,1602262134000,-23.659916,-46.620977
9_53409,d76c5924-95d2-4f13-a0fa-03e4ff12ebe0,1,1602262111000,-23.635463,-46.6272329
9_1031,c0406960-721b-4c89-953e-e5eacf65e0b6,-1,1602262082000,-23.657531,-46.60197
9_1013,1584ebd7-f3ca-43ab-a6fa-5483a0f6f2a4,-1,1602262151000,-23.632631,-46.627463
9_52350,d76c5924-95d2-4f13-a0fa-03e4ff12ebe0,-1,1602262102000,-23.67303,-46.583805
9_53412,b99cd78c-f020-48b2-82d8-4f66006b4727,-1,1602262109000,-23.669547,-46.604227
9_1015,1584ebd7-f3ca-43ab-a6fa-5483a0f6f2a4,-1,1602262167000,-23.664409,-46.607521
1_52795,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602251133000,-23.6140875,-46.638317
1_52823,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602251128000,-23.652816,-46.607754
1_52840,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602251122000,-23.61998525,-46.63788375
1_52851,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602251131000,-23.652816,-46.607754
1_52859,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602251162000,-23.5541775,-46.638684
1_52819,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602251122000,-23.652816,-46.607754
1_52848,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602251158000,-23.5470345,-46.6298525
1_52834,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602251137000,-23.5470345,-46.6298525
1_52800,d34474a8-3614-48c0-b3c1-f2da8abca2e7,0,1602251150000,-23.652816,-46.607754
1_52841,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602251139000,-23.5470345,-46.6298525
1_52699,d34474a8-3614-48c0-b3c1-f2da8abca2e7,1,1602251141000,-23.5470345,-46.6298525
